skill,category
Standard & Custom Objects,Salesforce
Lookup & Master-Detail Relationships,Salesforce
Lightning Experience,Salesforce
Reports & Dashboards,Salesforce
Profiles & Roles,Salesforce
Data Management,Salesforce
Validation Rules,Salesforce
Salesforce Trailhead,Tools
Salesforce Lightning,Tools
Python,Programming
SQL,Programming
JavaScript,Programming
HTML,Programming
CSS,Programming
Communication Skills,Soft Skills
Presentation Skills,Soft Skills
Teamwork,Soft Skills
Adaptability,Soft Skills
